"overviewpage","tournament","tournament_group","league","region","year","matchid","datetime_utc","matchround","matchnumber","team","opposingteam","result","gameswon","gameslost"
"2016 Season World Championship","Worlds 2016","Worlds 2016","World Championship","International",2016,"2016 Season World Championship_Finals_1","2016-10-30 04:13:00","Finals","1","Samsung Galaxy","SK Telecom T1","Loss",2,3
"2016 Season World Championship","Worlds 2016","Worlds 2016","World Championship","International",2016,"2016 Season World Championship_Quarterfinals_1","2016-10-14 00:00:00","Quarterfinals","1","Samsung Galaxy","Cloud9","Win",3,0
"2016 Season World Championship","Worlds 2016","Worlds 2016","World Championship","International",2016,"2016 Season World Championship_Quarterfinals_1","2016-10-14 00:00:00","Quarterfinals","1","Cloud9","Samsung Galaxy","Loss",0,3
"2016 Season World Championship","Worlds 2016","Worlds 2016","World Championship","International",2016,"2016 Season World Championship_Quarterfinals_2","2016-10-15 01:30:00","Quarterfinals","2","SK Telecom T1","Royal Never Give Up","Win",3,1
"2016 Season World Championship","Worlds 2016","Worlds 2016","World Championship","International",2016,"2016 Season World Championship_Quarterfinals_2","2016-10-15 01:30:00","Quarterfinals","2","Royal Never Give Up","SK Telecom T1","Loss",1,3
"2016 Season World Championship","Worlds 2016","Worlds 2016","World Championship","International",2016,"2016 Season World Championship_Quarterfinals_3","2016-10-16 00:51:00","Quarterfinals","3","EDward Gaming","ROX Tigers","Loss",1,3
"2016 Season World Championship","Worlds 2016","Worlds 2016","World Championship","International",2016,"2016 Season World Championship_Quarterfinals_3","2016-10-16 00:51:00","Quarterfinals","3","ROX Tigers","EDward Gaming","Win",3,1
"2016 Season World Championship","Worlds 2016","Worlds 2016","World Championship","International",2016,"2016 Season World Championship_Quarterfinals_4","2016-10-16 23:56:00","Quarterfinals","4","H2k-Gaming","Albus NoX Luna","Win",3,0
"2016 Season World Championship","Worlds 2016","Worlds 2016","World Championship","International",2016,"2016 Season World Championship_Quarterfinals_4","2016-10-16 23:56:00","Quarterfinals","4","Albus NoX Luna","H2k-Gaming","Loss",0,3
"2016 Season World Championship","Worlds 2016","Worlds 2016","World Championship","International",2016,"2016 Season World Championship_Semifinals_1","2016-10-22 02:23:00","Semifinals","1","ROX Tigers","SK Telecom T1","Loss",2,3
"2016 Season World Championship","Worlds 2016","Worlds 2016","World Championship","International",2016,"2016 Season World Championship_Semifinals_1","2016-10-22 02:23:00","Semifinals","1","SK Telecom T1","ROX Tigers","Win",3,2
"2016 Season World Championship","Worlds 2016","Worlds 2016","World Championship","International",2016,"2016 Season World Championship_Semifinals_2","2016-10-23 00:06:00","Semifinals","2","H2k-Gaming","Samsung Galaxy","Loss",0,3
"2016 Season World Championship","Worlds 2016","Worlds 2016","World Championship","International",2016,"2016 Season World Championship_Semifinals_2","2016-10-23 00:06:00","Semifinals","2","Samsung Galaxy","H2k-Gaming","Win",3,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 1_1","2017-10-05 06:47:00","Day 1","1","Fenerbahçe Esports","Royal Never Give Up","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 1_1","2017-10-05 06:47:00","Day 1","1","Royal Never Give Up","Fenerbahçe Esports","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 1_2","2017-10-05 08:15:00","Day 1","2","G2 Esports","Samsung Galaxy","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 1_2","2017-10-05 08:15:00","Day 1","2","Samsung Galaxy","G2 Esports","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 1_3","2017-10-05 09:09:00","Day 1","3","Longzhu Gaming","Immortals","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 1_3","2017-10-05 09:09:00","Day 1","3","Immortals","Longzhu Gaming","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 1_4","2017-10-05 10:07:00","Day 1","4","Fnatic","GIGABYTE Marines","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 1_4","2017-10-05 10:07:00","Day 1","4","GIGABYTE Marines","Fnatic","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 1_5","2017-10-05 10:56:00","Day 1","5","Cloud9","SK Telecom T1","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 1_5","2017-10-05 10:56:00","Day 1","5","SK Telecom T1","Cloud9","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 1_6","2017-10-05 11:50:00","Day 1","6","EDward Gaming","ahq eSports Club","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 1_6","2017-10-05 11:50:00","Day 1","6","ahq eSports Club","EDward Gaming","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 2_1","2017-10-06 06:54:00","Day 2","1","TSM","Flash Wolves","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 2_1","2017-10-06 06:54:00","Day 2","1","Flash Wolves","TSM","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 2_2","2017-10-06 08:22:00","Day 2","2","Team WE","Misfits Gaming","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 2_2","2017-10-06 08:22:00","Day 2","2","Misfits Gaming","Team WE","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 2_3","2017-10-06 09:19:00","Day 2","3","Fnatic","Immortals","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 2_3","2017-10-06 09:19:00","Day 2","3","Immortals","Fnatic","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 2_4","2017-10-06 10:33:00","Day 2","4","Longzhu Gaming","GIGABYTE Marines","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 2_4","2017-10-06 10:33:00","Day 2","4","GIGABYTE Marines","Longzhu Gaming","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 2_5","2017-10-06 11:19:00","Day 2","5","ahq eSports Club","Cloud9","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 2_5","2017-10-06 11:19:00","Day 2","5","Cloud9","ahq eSports Club","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 2_6","2017-10-06 12:12:00","Day 2","6","SK Telecom T1","EDward Gaming","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 2_6","2017-10-06 12:12:00","Day 2","6","EDward Gaming","SK Telecom T1","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 3_1","2017-10-07 06:46:00","Day 3","1","Team WE","TSM","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 3_1","2017-10-07 06:46:00","Day 3","1","TSM","Team WE","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 3_2","2017-10-07 07:56:00","Day 3","2","Misfits Gaming","Flash Wolves","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 3_2","2017-10-07 07:56:00","Day 3","2","Flash Wolves","Misfits Gaming","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 3_3","2017-10-07 09:08:00","Day 3","3","G2 Esports","Fenerbahçe Esports","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 3_3","2017-10-07 09:08:00","Day 3","3","Fenerbahçe Esports","G2 Esports","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 3_4","2017-10-07 10:03:00","Day 3","4","Royal Never Give Up","Samsung Galaxy","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 3_4","2017-10-07 10:03:00","Day 3","4","Samsung Galaxy","Royal Never Give Up","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 3_5","2017-10-07 10:55:00","Day 3","5","SK Telecom T1","ahq eSports Club","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 3_5","2017-10-07 10:55:00","Day 3","5","ahq eSports Club","SK Telecom T1","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 3_6","2017-10-07 11:57:00","Day 3","6","EDward Gaming","Cloud9","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 3_6","2017-10-07 11:57:00","Day 3","6","Cloud9","EDward Gaming","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 4_1","2017-10-08 06:44:00","Day 4","1","Team WE","Flash Wolves","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 4_1","2017-10-08 06:44:00","Day 4","1","Flash Wolves","Team WE","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 4_2","2017-10-08 07:54:00","Day 4","2","Misfits Gaming","TSM","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 4_2","2017-10-08 07:54:00","Day 4","2","TSM","Misfits Gaming","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 4_3","2017-10-08 09:12:00","Day 4","3","Immortals","GIGABYTE Marines","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 4_3","2017-10-08 09:12:00","Day 4","3","GIGABYTE Marines","Immortals","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 4_4","2017-10-08 10:13:00","Day 4","4","Longzhu Gaming","Fnatic","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 4_4","2017-10-08 10:13:00","Day 4","4","Fnatic","Longzhu Gaming","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 4_5","2017-10-08 10:57:00","Day 4","5","Samsung Galaxy","Fenerbahçe Esports","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 4_5","2017-10-08 10:57:00","Day 4","5","Fenerbahçe Esports","Samsung Galaxy","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 4_6","2017-10-08 12:07:00","Day 4","6","G2 Esports","Royal Never Give Up","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 4_6","2017-10-08 12:07:00","Day 4","6","Royal Never Give Up","G2 Esports","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_1","2017-10-12 03:38:00","Day 5","1","Immortals","GIGABYTE Marines","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_1","2017-10-12 03:38:00","Day 5","1","GIGABYTE Marines","Immortals","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_2","2017-10-12 04:53:00","Day 5","2","Longzhu Gaming","Fnatic","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_2","2017-10-12 04:53:00","Day 5","2","Fnatic","Longzhu Gaming","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_3","2017-10-12 05:47:00","Day 5","3","Immortals","Fnatic","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_3","2017-10-12 05:47:00","Day 5","3","Fnatic","Immortals","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_4","2017-10-12 06:46:00","Day 5","4","GIGABYTE Marines","Longzhu Gaming","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_4","2017-10-12 06:46:00","Day 5","4","Longzhu Gaming","GIGABYTE Marines","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_5","2017-10-12 07:58:00","Day 5","5","GIGABYTE Marines","Fnatic","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_5","2017-10-12 07:58:00","Day 5","5","Fnatic","GIGABYTE Marines","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_6","2017-10-12 08:52:00","Day 5","6","Immortals","Longzhu Gaming","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_6","2017-10-12 08:52:00","Day 5","6","Longzhu Gaming","Immortals","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_7","2017-10-12 10:08:00","Day 5","7","Fnatic","Immortals","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_7","2017-10-12 10:08:00","Day 5","7","Immortals","Fnatic","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_8","2017-10-12 10:59:00","Day 5","8","GIGABYTE Marines","Fnatic","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 5_8","2017-10-12 10:59:00","Day 5","8","Fnatic","GIGABYTE Marines","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 6_1","2017-10-13 03:40:00","Day 6","1","Royal Never Give Up","G2 Esports","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 6_1","2017-10-13 03:40:00","Day 6","1","G2 Esports","Royal Never Give Up","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 6_2","2017-10-13 04:49:00","Day 6","2","Fenerbahçe Esports","Samsung Galaxy","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 6_2","2017-10-13 04:49:00","Day 6","2","Samsung Galaxy","Fenerbahçe Esports","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 6_3","2017-10-13 05:45:00","Day 6","3","G2 Esports","Samsung Galaxy","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 6_3","2017-10-13 05:45:00","Day 6","3","Samsung Galaxy","G2 Esports","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 6_4","2017-10-13 07:06:00","Day 6","4","Fenerbahçe Esports","Royal Never Give Up","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 6_4","2017-10-13 07:06:00","Day 6","4","Royal Never Give Up","Fenerbahçe Esports","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 6_5","2017-10-13 07:55:00","Day 6","5","G2 Esports","Fenerbahçe Esports","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 6_5","2017-10-13 07:55:00","Day 6","5","Fenerbahçe Esports","G2 Esports","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 6_6","2017-10-13 09:15:00","Day 6","6","Samsung Galaxy","Royal Never Give Up","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 6_6","2017-10-13 09:15:00","Day 6","6","Royal Never Give Up","Samsung Galaxy","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_1","2017-10-14 03:25:00","Day 7","1","Misfits Gaming","Flash Wolves","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_1","2017-10-14 03:25:00","Day 7","1","Flash Wolves","Misfits Gaming","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_2","2017-10-14 05:04:00","Day 7","2","TSM","Team WE","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_2","2017-10-14 05:04:00","Day 7","2","Team WE","TSM","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_3","2017-10-14 05:53:00","Day 7","3","Flash Wolves","Team WE","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_3","2017-10-14 05:53:00","Day 7","3","Team WE","Flash Wolves","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_4","2017-10-14 06:42:00","Day 7","4","Misfits Gaming","TSM","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_4","2017-10-14 06:42:00","Day 7","4","TSM","Misfits Gaming","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_5","2017-10-14 07:47:00","Day 7","5","Flash Wolves","TSM","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_5","2017-10-14 07:47:00","Day 7","5","TSM","Flash Wolves","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_6","2017-10-14 08:37:00","Day 7","6","Misfits Gaming","Team WE","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_6","2017-10-14 08:37:00","Day 7","6","Team WE","Misfits Gaming","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_7","2017-10-14 09:46:00","Day 7","7","TSM","Misfits Gaming","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 7_7","2017-10-14 09:46:00","Day 7","7","Misfits Gaming","TSM","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 8_1","2017-10-15 03:54:00","Day 8","1","ahq eSports Club","SK Telecom T1","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 8_1","2017-10-15 03:54:00","Day 8","1","SK Telecom T1","ahq eSports Club","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 8_2","2017-10-15 04:58:00","Day 8","2","Cloud9","EDward Gaming","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 8_2","2017-10-15 04:58:00","Day 8","2","EDward Gaming","Cloud9","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 8_3","2017-10-15 05:56:00","Day 8","3","EDward Gaming","ahq eSports Club","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 8_3","2017-10-15 05:56:00","Day 8","3","ahq eSports Club","EDward Gaming","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 8_4","2017-10-15 06:45:00","Day 8","4","Cloud9","SK Telecom T1","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 8_4","2017-10-15 06:45:00","Day 8","4","SK Telecom T1","Cloud9","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 8_5","2017-10-15 07:47:00","Day 8","5","Cloud9","ahq eSports Club","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 8_5","2017-10-15 07:47:00","Day 8","5","ahq eSports Club","Cloud9","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 8_6","2017-10-15 08:36:00","Day 8","6","SK Telecom T1","EDward Gaming","Win",1,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Day 8_6","2017-10-15 08:36:00","Day 8","6","EDward Gaming","SK Telecom T1","Loss",0,1
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Finals_1","2017-11-04 09:04:00","Finals","1","SK Telecom T1","Samsung Galaxy","Loss",0,3
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Finals_1","2017-11-04 09:04:00","Finals","1","Samsung Galaxy","SK Telecom T1","Win",3,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Quarterfinals_1","2017-10-19 10:10:00","Quarterfinals","1","Longzhu Gaming","Samsung Galaxy","Loss",0,3
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Quarterfinals_1","2017-10-19 10:10:00","Quarterfinals","1","Samsung Galaxy","Longzhu Gaming","Win",3,0
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Quarterfinals_2","2017-10-20 11:47:00","Quarterfinals","2","SK Telecom T1","Misfits Gaming","Win",3,2
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Quarterfinals_2","2017-10-20 11:47:00","Quarterfinals","2","Misfits Gaming","SK Telecom T1","Loss",2,3
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Quarterfinals_3","2017-10-21 11:41:00","Quarterfinals","3","Fnatic","Royal Never Give Up","Loss",1,3
"2017 Season World Championship/Main Event","Worlds 2017 Main Event","Worlds 2017","World Championship","International",2017,"2017 Season World Championship/Main Event_Quarterfinals_3","2017-10-21 11:41:00","Quarterfinals","3","Royal Never Give Up","Fnatic","Win",3,1
