"tournament","tournament_group","overviewpage","team","nplayerinteam","player","role","flag"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Royal Never Give Up",6,"Fly (Kim Sang-cheol)","Coach","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Samsung Galaxy",1,"CuVee","Top","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Samsung Galaxy",2,"Ambition","Jungle","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Samsung Galaxy",3,"Crown","Mid","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Samsung Galaxy",4,"Ruler","Bot","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Samsung Galaxy",5,"Wraith","Support","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Samsung Galaxy",6,"CoreJJ","Support","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Samsung Galaxy",7,"Edgar","Coach","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","SK Telecom T1",1,"Duke (Lee Ho-seong)","Top","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","SK Telecom T1",2,"Bengi","Jungle","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","SK Telecom T1",3,"Blank (Kang Sun-gu)","Jungle","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","SK Telecom T1",4,"Faker","Mid","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","SK Telecom T1",5,"Bang","Bot","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","SK Telecom T1",6,"Wolf (Lee Jae-wan)","Support","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","SK Telecom T1",7,"kkOma","Coach","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Splyce",1,"Wunder","Top","Denmark"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Splyce",2,"Trashy","Jungle","Denmark"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Splyce",3,"Sencux","Mid","Denmark"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Splyce",4,"Kobbe","Bot","Denmark"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Splyce",5,"Mikyx","Support","Slovenia"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Splyce",6,"YamatoCannon","Coach","Sweden"
"Worlds 2016","Worlds 2016","2016 Season World Championship","TSM",1,"Hauntzer","Top","United States"
"Worlds 2016","Worlds 2016","2016 Season World Championship","TSM",2,"Svenskeren","Jungle","Denmark"
"Worlds 2016","Worlds 2016","2016 Season World Championship","TSM",3,"Bjergsen","Mid","Denmark"
"Worlds 2016","Worlds 2016","2016 Season World Championship","TSM",4,"Doublelift","Bot","United States"
"Worlds 2016","Worlds 2016","2016 Season World Championship","TSM",5,"Biofrost","Support","China"
"Worlds 2016","Worlds 2016","2016 Season World Championship","TSM",6,"Parth","Coach","United States"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","ahq eSports Club",1,"Ziv (Chen Yi)","Top","Taiwan"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","ahq eSports Club",2,"Mountain (Xue Zhao-Hong)","Jungle","Taiwan"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","ahq eSports Club",3,"Westdoor","Mid","Taiwan"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","ahq eSports Club",4,"Chawy","Mid","Singapore"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","ahq eSports Club",5,"AN","Bot","Taiwan"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","ahq eSports Club",6,"Albis","Support","Taiwan"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","ahq eSports Club",7,"GreenTea","Coach","Taiwan"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Cloud9",1,"Impact","Top","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Cloud9",2,"Contractz","Jungle","United States"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Cloud9",3,"Jensen","Mid","Denmark"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Cloud9",4,"Sneaky","Bot","United States"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Cloud9",5,"Smoothie","Support","Canada"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Cloud9",6,"Reapered","Coach","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","EDward Gaming",1,"Mouse","Top","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","EDward Gaming",2,"Clearlove7","Jungle","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","EDward Gaming",3,"Scout","Mid","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","EDward Gaming",4,"iBoy","Bot","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","EDward Gaming",5,"Meiko","Support","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","EDward Gaming",6,"NoFe","Coach","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Fenerbahçe Esports",1,"Thaldrin","Top","Turkey"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Fenerbahçe Esports",2,"Crash","Jungle","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Fenerbahçe Esports",3,"Frozen (Kim Tae-il)","Mid","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Fenerbahçe Esports",4,"Padden","Bot","Turkey"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Fenerbahçe Esports",5,"Japone","Support","Turkey"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Fenerbahçe Esports",6,"Pades","Coach","Turkey"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Flash Wolves",1,"MMD","Top","Taiwan"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Flash Wolves",2,"Karsa","Jungle","Taiwan"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Flash Wolves",3,"Maple (Huang Yi-Tang)","Mid","Taiwan"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Flash Wolves",4,"Betty","Bot","Taiwan"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Flash Wolves",5,"SwordArT","Support","Taiwan"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Flash Wolves",6,"Steak","Coach","Taiwan"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Fnatic",1,"sOAZ","Top","France"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Fnatic",2,"Broxah","Jungle","Denmark"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Fnatic",3,"Caps","Mid","Denmark"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Fnatic",4,"Rekkles","Bot","Sweden"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Fnatic",5,"Jesiz","Support","Denmark"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Fnatic",6,"Dylan Falco","Coach","Canada"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","G2 Esports",1,"Expect","Top","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","G2 Esports",2,"Trick","Jungle","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","G2 Esports",3,"Perkz","Mid","Croatia"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","G2 Esports",4,"Zven","Bot","Denmark"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","G2 Esports",5,"mithy","Support","Spain"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","G2 Esports",6,"YoungBuck","Coach","Netherlands"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","GIGABYTE Marines",1,"Archie (Trần Minh Nhựt)","Top","Vietnam"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","GIGABYTE Marines",2,"Levi","Jungle","Vietnam"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","GIGABYTE Marines",3,"Optimus","Mid","Vietnam"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","GIGABYTE Marines",4,"Noway (Nguyễn Vũ Long)","Bot","Vietnam"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","GIGABYTE Marines",5,"Nevan","Support","Vietnam"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","GIGABYTE Marines",6,"Sya","Support","Vietnam"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","GIGABYTE Marines",7,"Tinikun","Coach","Vietnam"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Immortals",1,"Flame","Top","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Immortals",2,"Xmithie","Jungle","Philippines"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Immortals",3,"Pobelter","Mid","United States"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Immortals",4,"Cody Sun","Bot","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Immortals",5,"Olleh","Support","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Immortals",6,"SSONG","Coach","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Longzhu Gaming",1,"Khan","Top","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Longzhu Gaming",2,"Rascal","Top","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Longzhu Gaming",3,"Cuzz","Jungle","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Longzhu Gaming",4,"Bdd","Mid","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Longzhu Gaming",5,"PraY","Bot","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Longzhu Gaming",6,"GorillA","Support","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Longzhu Gaming",7,"Kim Jeong-soo","Coach","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Misfits Gaming",1,"Alphari","Top","United Kingdom"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Misfits Gaming",2,"Maxlore","Jungle","United Kingdom"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Misfits Gaming",3,"PowerOfEvil","Mid","Germany"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Misfits Gaming",4,"Hans Sama","Bot","France"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Misfits Gaming",5,"IgNar","Support","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Misfits Gaming",6,"Daku (Hussain Moosvi)","Coach","United Arab Emirates"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Royal Never Give Up",1,"Letme","Top","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Royal Never Give Up",2,"Mlxg","Jungle","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Royal Never Give Up",3,"Xiaohu","Mid","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Royal Never Give Up",4,"Uzi (Jian Zi-Hao)","Bot","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Royal Never Give Up",5,"Ming (Shi Sen-Ming)","Support","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Royal Never Give Up",6,"FireFox","Coach","Taiwan"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Samsung Galaxy",1,"CuVee","Top","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Samsung Galaxy",2,"Ambition","Jungle","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Samsung Galaxy",3,"Haru","Jungle","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Samsung Galaxy",4,"Crown","Mid","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Samsung Galaxy",5,"Ruler","Bot","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Samsung Galaxy",6,"CoreJJ","Support","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Samsung Galaxy",7,"Edgar","Coach","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","SK Telecom T1",1,"Huni","Top","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","SK Telecom T1",2,"Peanut","Jungle","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","SK Telecom T1",3,"Blank (Kang Sun-gu)","Jungle","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","SK Telecom T1",4,"Faker","Mid","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","SK Telecom T1",5,"Bang","Bot","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","SK Telecom T1",6,"Wolf (Lee Jae-wan)","Support","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","SK Telecom T1",7,"kkOma","Coach","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Team WE",1,"957","Top","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Team WE",2,"Condi","Jungle","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Team WE",3,"xiye","Mid","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Team WE",4,"Mystic","Bot","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Team WE",5,"Ben","Support","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","Team WE",6,"Homme","Coach","South Korea"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","TSM",1,"Hauntzer","Top","United States"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","TSM",2,"Svenskeren","Jungle","Denmark"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","TSM",3,"Bjergsen","Mid","Denmark"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","TSM",4,"Doublelift","Bot","United States"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","TSM",5,"Biofrost","Support","China"
"Worlds 2017 Main Event","Worlds 2017","2017 Season World Championship/Main Event","TSM",6,"Parth","Coach","United States"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","100 Thieves",1,"Ssumday","Top","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","100 Thieves",2,"AnDa","Jungle","Canada"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","100 Thieves",3,"Ryu","Mid","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","100 Thieves",4,"Rikara","Bot","United States"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","100 Thieves",5,"aphromoo","Support","United States"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","100 Thieves",6,"pr0lly","Coach","United States"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Afreeca Freecs",1,"Kiin","Top","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Afreeca Freecs",2,"Spirit","Jungle","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Afreeca Freecs",3,"Mowgli","Jungle","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Afreeca Freecs",4,"Kuro","Mid","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Afreeca Freecs",5,"Kramer","Bot","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Afreeca Freecs",6,"TusiN","Support","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Afreeca Freecs",7,"Comet","Coach","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Cloud9",1,"Licorice","Top","Canada"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Cloud9",2,"Svenskeren","Jungle","Denmark"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Cloud9",3,"Blaber","Jungle","United States"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Cloud9",4,"Jensen","Mid","Denmark"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Cloud9",5,"Sneaky","Bot","United States"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Cloud9",6,"Zeyzal","Support","United States"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Cloud9",7,"Reapered","Coach","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","EDward Gaming",1,"Ray","Top","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","EDward Gaming",2,"Haro","Jungle","China"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","EDward Gaming",3,"Clearlove","Jungle","China"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","EDward Gaming",4,"Scout","Mid","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","EDward Gaming",5,"iBoy","Bot","China"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","EDward Gaming",6,"Meiko","Support","China"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","EDward Gaming",7,"NoFe","Coach","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Flash Wolves",1,"Hanabi (Su Chia-Hsiang)","Top","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Flash Wolves",2,"Moojin","Jungle","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Flash Wolves",3,"Maple (Huang Yi-Tang)","Mid","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Flash Wolves",4,"Betty","Bot","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Flash Wolves",5,"SwordArt","Support","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Flash Wolves",6,"WarHorse","Coach","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Fnatic",1,"sOAZ","Top","France"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Fnatic",2,"Bwipo","Top","Belgium"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Fnatic",3,"Broxah","Jungle","Denmark"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Fnatic",4,"Caps","Mid","Denmark"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Fnatic",5,"Rekkles","Bot","Sweden"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Fnatic",6,"Hylissang","Support","Bulgaria"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Fnatic",7,"Dylan Falco","Coach","Canada"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","G-Rex",1,"PK","Top","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","G-Rex",2,"baybay","Jungle","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","G-Rex",3,"Empt2y","Jungle","Hong Kong"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","G-Rex",4,"Candy (Kim Seung-ju)","Mid","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","G-Rex",5,"Stitch","Bot","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","G-Rex",6,"Koala (Lin Chih-Chiang)","Support","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","G-Rex",7,"Wei (Fu Chien-Wei)","Coach","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","G2 Esports",1,"Wunder","Top","Denmark"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","G2 Esports",2,"Jankos","Jungle","Poland"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","G2 Esports",3,"Perkz","Mid","Croatia"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","G2 Esports",4,"Hjarnan","Bot","Sweden"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","G2 Esports",5,"Wadid","Support","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","G2 Esports",6,"GrabbZ","Coach","Germany"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Gen.G",1,"CuVee","Top","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Gen.G",2,"Haru","Jungle","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Gen.G",3,"Ambition","Jungle","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Gen.G",4,"Crown","Mid","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Gen.G",5,"Ruler","Bot","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Gen.G",6,"CoreJJ","Support","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Gen.G",7,"Edgar","Coach","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Invictus Gaming",1,"Duke (Lee Ho-seong)","Top","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Invictus Gaming",2,"TheShy","Top","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Invictus Gaming",3,"Ning","Jungle","China"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Invictus Gaming",4,"Rookie","Mid","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Invictus Gaming",5,"JackeyLove","Bot","China"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Invictus Gaming",6,"Baolan","Support","China"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Invictus Gaming",7,"Kim (Kim Jeong-soo)","Coach","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","KT Rolster",1,"Smeb","Top","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","KT Rolster",2,"Score","Jungle","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","KT Rolster",3,"Ucal","Mid","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","KT Rolster",4,"Deft","Bot","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","KT Rolster",5,"Mata","Support","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","KT Rolster",6,"Noexcuse","Coach","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","MAD Team",1,"Liang","Top","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","MAD Team",2,"Kongyue","Jungle","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","MAD Team",3,"Benny (Lien Hsiu-Chi)","Jungle","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","MAD Team",4,"Uniboy","Mid","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","MAD Team",5,"Breeze","Bot","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","MAD Team",6,"K","Support","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","MAD Team",7,"GreenTea","Coach","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Phong Vũ Buffalo",1,"Zeros","Top","Vietnam"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Phong Vũ Buffalo",2,"Meliodas (Hoàng Tiến Nhật)","Jungle","Vietnam"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Phong Vũ Buffalo",3,"XuHao","Jungle","Vietnam"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Phong Vũ Buffalo",4,"Naul","Mid","Vietnam"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Phong Vũ Buffalo",5,"BigKoro","Bot","Vietnam"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Phong Vũ Buffalo",6,"Palette","Support","Vietnam"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Phong Vũ Buffalo",7,"Ren","Coach","Vietnam"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Royal Never Give Up",1,"Letme","Top","China"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Royal Never Give Up",2,"Karsa","Jungle","Taiwan"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Royal Never Give Up",3,"Mlxg","Jungle","China"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Royal Never Give Up",4,"Xiaohu","Mid","China"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Royal Never Give Up",5,"Uzi (Jian Zi-Hao)","Bot","China"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Royal Never Give Up",6,"Ming (Shi Sen-Ming)","Support","China"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Royal Never Give Up",7,"Heart","Coach","South Korea"
