"tournament","tournament_group","overviewpage","team","nplayerinteam","player","role","flag"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Samsung White",5,"Mata","Support","South Korea"
"Worlds 2014","Worlds 2014","2014 Season World Championship","SK Gaming",1,"fredy122","Top","United Kingdom"
"Worlds 2014","Worlds 2014","2014 Season World Championship","SK Gaming",2,"Gilius","Jungle","Germany"
"Worlds 2014","Worlds 2014","2014 Season World Championship","SK Gaming",3,"Svenskeren","Jungle","Denmark"
"Worlds 2014","Worlds 2014","2014 Season World Championship","SK Gaming",4,"Jesiz","Mid","Denmark"
"Worlds 2014","Worlds 2014","2014 Season World Championship","SK Gaming",5,"CandyPanda","Bot","Germany"
"Worlds 2014","Worlds 2014","2014 Season World Championship","SK Gaming",6,"nRated","Support","Germany"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Star Horn Royal Club",1,"Cola (Jiang Nan)","Top","China"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Star Horn Royal Club",2,"inSec","Jungle","South Korea"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Star Horn Royal Club",3,"corn (Lei Wen)","Mid","China"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Star Horn Royal Club",4,"Uzi (Jian Zi-Hao)","Bot","China"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Star Horn Royal Club",5,"Zero (Yoon Kyung-sup)","Support","South Korea"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Star Horn Royal Club",6,"VicaL","Coach","South Korea"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Taipei Assassins",1,"Achie","Top","Taiwan"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Taipei Assassins",2,"Winds","Jungle","Taiwan"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Taipei Assassins",3,"Morning","Mid","Taiwan"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Taipei Assassins",4,"BeBe (Chang Bo-Wei)","Bot","Taiwan"
"Worlds 2014","Worlds 2014","2014 Season World Championship","Taipei Assassins",5,"Jay (Li Chieh)","Support","Taiwan"
"Worlds 2014","Worlds 2014","2014 Season World Championship","TSM",1,"Dyrus","Top","United States"
"Worlds 2014","Worlds 2014","2014 Season World Championship","TSM",2,"Amazing (Maurice Stückenschneider)","Jungle","Germany"
"Worlds 2014","Worlds 2014","2014 Season World Championship","TSM",3,"Bjergsen","Mid","Denmark"
"Worlds 2014","Worlds 2014","2014 Season World Championship","TSM",4,"WildTurtle","Bot","Canada"
"Worlds 2014","Worlds 2014","2014 Season World Championship","TSM",5,"Lustboy","Support","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","ahq eSports Club",1,"Ziv (Chen Yi)","Top","Taiwan"
"Worlds 2015","Worlds 2015","2015 Season World Championship","ahq eSports Club",2,"Mountain (Xue Zhao-Hong)","Jungle","Taiwan"
"Worlds 2015","Worlds 2015","2015 Season World Championship","ahq eSports Club",3,"Westdoor","Mid","Taiwan"
"Worlds 2015","Worlds 2015","2015 Season World Championship","ahq eSports Club",4,"AN","Bot","Taiwan"
