"tournament","league","region","year","team","player","ingamerole","total_champions_played","total_matches","matches_won","matches_lost","total_games","games_won","games_lost","kills","deaths","assists","gold_summed","cs_summed","damage_summed"
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"DWG KIA","ShowMaker","Mid",7,2,2,2,10,5,5,29,23,56,136459,2924,197039
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"Gen.G","Chovy","Mid",3,2,2,1,7,6,1,28,6,62,100716,2118,162145
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"Gen.G","Doran","Top",3,2,2,1,7,6,1,21,16,56,88943,1787,104629
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"Gen.G","Lehends","Support",5,2,2,1,7,6,1,9,14,90,55639,179,52715
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"Gen.G","Peanut","Jungle",4,2,2,1,7,6,1,17,15,74,75863,1203,67358
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"Gen.G","Ruler","Bot",3,2,2,1,7,6,1,48,12,40,116029,2314,155871
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"KT Rolster","Aiming","Bot",4,1,1,1,5,2,3,19,10,15,85643,1899,94483
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"KT Rolster","Cuzz","Jungle",3,1,1,1,5,2,3,9,14,28,61028,954,55230
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"KT Rolster","Life","Support",4,1,1,1,5,2,3,3,13,37,42126,99,26966
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"KT Rolster","Rascal","Top",4,1,1,1,5,2,3,7,12,27,67828,1407,80463
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"KT Rolster","VicLa","Mid",3,1,1,1,5,2,3,15,16,24,78050,1827,103437
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"Liiv SANDBOX","Clozer","Mid",3,2,2,2,8,4,4,21,17,50,108135,2395,159497
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"Liiv SANDBOX","Croco","Jungle",6,2,2,2,8,4,4,22,29,59,84599,1284,80958
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"Liiv SANDBOX","Dove","Top",4,2,2,2,8,4,4,8,30,57,84905,1664,113761
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"Liiv SANDBOX","Kael","Support",6,2,2,2,8,4,4,4,29,67,60227,244,43008
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"Liiv SANDBOX","Prince","Bot",4,2,2,2,8,4,4,49,16,36,130689,2769,195755
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"T1","Faker","Mid",6,2,1,2,8,3,5,13,22,35,97776,2164,96011
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"T1","Gumayusi","Bot",4,2,1,2,8,3,5,25,16,26,119018,2811,136807
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"T1","Keria","Support",4,2,1,2,8,3,5,2,18,45,56959,183,40768
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"T1","Oner","Jungle",4,2,1,2,8,3,5,16,19,38,82859,1353,59954
"LCK 2022 Summer Playoffs","LoL Champions Korea","Korea",2022,"T1","Zeus","Top",5,2,1,2,8,3,5,15,24,31,94366,1991,105370
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"BRION","Effort","Support",10,18,9,17,44,13,31,18,105,234,332162,1254,204315
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"BRION","Hena","Bot",9,18,9,17,44,13,31,98,94,122,587481,13498,797703
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"BRION","Karis","Mid",12,18,9,17,44,13,31,108,96,132,555318,12565,748945
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"BRION","Morgan","Top",10,18,9,17,44,13,31,70,108,119,548175,12368,585095
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"BRION","UmTi","Jungle",10,18,9,17,44,13,31,69,122,204,461684,8005,469936
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Dplus KIA","Canna","Top",9,18,14,8,40,26,14,92,65,163,492885,10726,595208
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Dplus KIA","Canyon","Jungle",10,18,14,8,40,26,14,86,67,244,421329,7093,401349
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Dplus KIA","Deft","Bot",12,18,14,8,40,26,14,166,56,179,583776,12762,847349
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Dplus KIA","Kellin","Support",12,18,14,8,40,26,14,28,57,364,310586,816,286223
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Dplus KIA","ShowMaker","Mid",15,18,14,8,40,26,14,114,58,206,505171,11130,772618
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"DRX","BeryL","Support",15,18,9,17,44,12,32,20,138,221,316683,1390,282249
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"DRX","Croco","Jungle",8,14,5,13,29,6,23,41,90,113,263429,4350,298851
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"DRX","deokdam","Bot",12,16,8,14,38,11,27,84,86,114,471848,10572,603470
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"DRX","FATE","Mid",14,18,9,17,44,12,32,90,97,113,503105,11651,748461
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"DRX","Juhan","Jungle",5,7,4,6,15,6,9,17,46,72,147256,2415,122722
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"DRX","Pleata","Bot",3,3,1,3,6,1,5,19,15,13,73166,1589,85092
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"DRX","Rascal","Top",17,18,9,17,44,12,32,78,130,125,522721,11514,627668
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Gen.G","Chovy","Mid",16,18,17,8,43,30,13,155,65,242,607169,12982,907316
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Gen.G","Delight","Support",14,18,17,8,43,30,13,36,79,419,361231,1260,300544
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Gen.G","Doran","Top",10,18,17,8,43,30,13,105,99,245,575483,11785,715728
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Gen.G","Peanut","Jungle",8,18,17,8,43,30,13,97,102,310,479281,7853,456446
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Gen.G","Peyz","Bot",10,18,17,8,43,30,13,209,68,201,652242,14128,894281
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Clid","Jungle",9,18,14,13,45,24,21,91,115,194,486686,7948,451391
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Kingen","Top",11,18,14,13,45,24,21,62,99,166,568199,12097,605241
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Life","Support",12,18,14,13,45,24,21,34,100,285,361391,1148,300165
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Viper","Bot",8,18,14,13,45,24,21,130,69,175,665553,15093,969182
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","ZEKA","Mid",17,18,14,13,45,24,21,132,90,158,631062,14350,889928
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"KT Rolster","Aiming","Bot",10,18,15,10,43,28,15,163,51,168,623592,13749,771636
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"KT Rolster","Bdd","Mid",15,18,15,10,43,28,15,131,60,184,537741,11660,644772
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"KT Rolster","Cuzz","Jungle",8,18,15,10,43,28,15,91,72,251,447685,7682,385750
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"KT Rolster","Kiin","Top",13,18,15,10,43,28,15,92,64,173,546737,11848,642871
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"KT Rolster","Lehends","Support",13,18,15,10,43,28,15,21,85,323,317638,1043,228671
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Kwangdong Freecs","BuLLDoG","Mid",16,18,11,16,45,17,28,92,111,172,585087,13279,857979
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Kwangdong Freecs","DuDu","Top",10,18,11,16,45,17,28,99,110,127,600036,13346,670185
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Kwangdong Freecs","Jun","Support",6,10,6,8,24,8,16,10,61,134,186397,711,194823
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Kwangdong Freecs","Moham","Support",11,8,5,8,21,9,12,8,58,150,164216,643,145357
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Kwangdong Freecs","Taeyoon","Bot",11,18,11,16,45,17,28,124,112,162,633316,14655,825107
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Kwangdong Freecs","YoungJae","Jungle",6,18,11,16,45,17,28,81,100,209,482370,8397,432658
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Burdol","Top",9,18,14,15,47,24,23,91,100,152,595660,13436,719662
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Clozer","Mid",12,18,14,15,47,24,23,108,118,184,611461,14070,800645
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Envyy","Bot",11,18,14,15,47,24,23,148,101,172,644656,14579,865772
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Kael","Support",16,18,14,15,47,24,23,48,100,329,373852,1337,354775
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Willer","Jungle",8,18,14,15,47,24,23,100,99,245,502247,8695,433336
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Nongshim RedForce","Callme","Mid",3,2,1,1,4,2,2,13,7,18,44061,961,61856
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Nongshim RedForce","DnDn","Top",15,18,7,17,42,9,33,67,113,146,474644,10632,568924
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Nongshim RedForce","FIESTA","Mid",14,16,6,16,38,7,31,78,114,131,442999,10047,616356
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Nongshim RedForce","Peter","Support",9,18,7,17,42,9,33,25,88,268,287127,1018,172951
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Nongshim RedForce","Sylvie","Jungle",7,18,7,17,42,9,33,72,122,188,394208,6453,348285
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"Nongshim RedForce","vital","Bot",9,18,7,17,42,9,33,113,93,130,534691,12521,741543
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"T1","Faker","Mid",15,18,18,7,43,35,8,133,87,240,519885,10663,832409
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"T1","Gumayusi","Bot",12,18,18,7,43,35,8,172,79,227,601731,12748,794222
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"T1","Keria","Support",17,18,18,7,43,35,8,54,66,402,358093,1113,356694
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"T1","Oner","Jungle",10,18,18,7,43,35,8,130,89,296,461936,6886,418538
"LCK 2023 Spring","LoL Champions Korea","Korea",2023,"T1","Zeus","Top",13,18,18,7,43,35,8,128,80,177,552139,11519,710910
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Dplus KIA","Canna","Top",3,1,1,1,4,1,3,7,7,12,50018,1134,69895
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Dplus KIA","Canyon","Jungle",3,1,1,1,4,1,3,6,10,14,40990,678,33965
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Dplus KIA","Deft","Bot",3,1,1,1,4,1,3,11,10,12,50445,1134,62432
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Dplus KIA","Kellin","Support",4,1,1,1,4,1,3,0,9,24,28158,76,21258
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Dplus KIA","ShowMaker","Mid",2,1,1,1,4,1,3,4,10,10,46892,1155,60406
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Gen.G","Chovy","Mid",6,4,4,4,16,10,6,56,23,88,230327,4908,326429
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Gen.G","Delight","Support",7,4,4,4,16,10,6,9,36,149,133422,599,74995
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Gen.G","Doran","Top",7,4,4,4,16,10,6,23,42,98,204148,4109,244230
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Gen.G","Peanut","Jungle",7,4,4,4,16,10,6,47,41,91,190378,3138,166636
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Gen.G","Peyz","Bot",5,4,4,4,16,10,6,80,29,74,257693,5719,371320
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Clid","Jungle",4,3,3,3,12,5,7,7,28,66,121503,2128,94179
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Kingen","Top",5,3,3,3,12,5,7,24,24,43,150221,3259,162905
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Life","Support",6,3,3,3,12,5,7,7,25,73,90187,392,45491
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Viper","Bot",5,3,3,3,12,5,7,44,18,36,179414,4108,257657
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","ZEKA","Mid",8,3,3,3,12,5,7,29,33,36,161851,3833,154105
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"KT Rolster","Aiming","Bot",6,4,4,4,17,9,8,71,35,80,269527,5765,343991
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"KT Rolster","Bdd","Mid",5,4,4,4,17,9,8,38,37,113,234363,5124,283211
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"KT Rolster","Cuzz","Jungle",5,4,4,4,17,9,8,53,44,102,201889,3442,192083
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"KT Rolster","Kiin","Top",9,4,4,4,17,9,8,36,36,97,228906,4902,288244
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"KT Rolster","Lehends","Support",6,4,4,4,17,9,8,9,36,122,135422,656,73102
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Burdol","Top",2,1,1,1,4,1,3,4,11,8,42089,972,32129
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Clozer","Mid",3,1,1,1,4,1,3,3,9,13,43271,1093,44768
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Envyy","Bot",2,1,1,1,4,1,3,10,10,10,51695,1198,61086
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Kael","Support",2,1,1,1,4,1,3,3,12,17,26878,135,12656
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Willer","Jungle",3,1,1,1,4,1,3,7,8,14,39779,696,21339
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"T1","Faker","Mid",8,3,3,3,13,7,6,33,38,91,182688,3935,236220
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"T1","Gumayusi","Bot",7,3,3,3,13,7,6,72,28,66,232075,4947,345300
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"T1","Keria","Support",8,3,3,3,13,7,6,12,39,137,118386,477,103049
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"T1","Oner","Jungle",6,3,3,3,13,7,6,41,40,90,166696,2567,152785
"LCK 2023 Spring Playoffs","LoL Champions Korea","Korea",2023,"T1","Zeus","Top",7,3,3,3,13,7,6,29,47,84,176013,3434,227455
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Dplus KIA","Bible","Support",6,6,4,3,13,8,5,12,43,109,107829,489,51288
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Dplus KIA","Canna","Top",11,18,13,9,40,24,16,86,94,191,488374,10179,632273
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Dplus KIA","Canyon","Jungle",15,18,13,9,40,24,16,89,90,291,447739,7781,415209
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Dplus KIA","Deft","Bot",10,17,12,8,37,23,14,173,75,201,537778,11256,885295
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Dplus KIA","Kellin","Support",13,12,9,6,27,16,11,19,49,252,199660,785,145127
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Dplus KIA","Rahel","Bot",3,1,1,1,3,1,2,7,5,4,41188,944,42693
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Dplus KIA","ShowMaker","Mid",12,18,13,9,40,24,16,139,72,208,523245,11138,781288
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"DRX","BeryL","Support",14,18,10,15,43,16,27,15,140,278,308420,1665,219962
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"DRX","Croco","Jungle",13,12,6,10,25,9,16,41,69,155,245218,3892,222709
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"DRX","FATE","Mid",10,14,9,11,34,15,19,92,60,156,429629,9620,631566
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"DRX","Juhan","Jungle",8,9,4,8,18,7,11,23,51,96,175108,2907,133273
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"DRX","kyeahoo","Mid",4,3,1,3,7,1,6,13,19,11,64601,1424,76346
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"DRX","Kyeahoo","Mid",1,1,0,1,2,0,2,2,5,12,23599,557,34826
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"DRX","Paduck","Bot",9,18,10,15,43,16,27,136,105,155,555725,12204,763806
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"DRX","Rascal","Top",13,18,10,15,43,16,27,93,128,150,500658,10681,582772
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Gen.G","Chovy","Mid",10,18,16,5,39,32,7,104,53,266,503217,11053,725396
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Gen.G","Delight","Support",11,18,16,5,39,32,7,25,65,379,296350,1332,169279
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Gen.G","Doran","Top",10,18,16,5,39,32,7,101,82,220,494628,9880,615687
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Gen.G","Peanut","Jungle",11,18,16,5,39,32,7,99,59,282,428372,7313,388591
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Gen.G","Peyz","Bot",12,18,16,5,39,32,7,234,59,168,566970,11888,791430
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Clid","Jungle",6,6,6,3,15,10,5,34,34,96,164625,2781,130348
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Grizzly","Jungle",7,12,9,5,26,17,9,58,63,193,271940,4342,249601
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Kingen","Top",13,18,15,8,41,27,14,71,76,208,492126,10534,624266
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Life","Support",11,18,15,8,41,27,14,31,105,357,305725,1139,177651
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Viper","Bot",10,18,15,8,41,27,14,188,76,182,595259,13294,844726
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Hanwha Life Esports","Zeka","Mid",8,18,15,8,41,27,14,159,72,216,550347,11944,728657
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"KT Rolster","Aiming","Bot",9,18,18,5,40,34,6,229,49,218,589534,12290,754704
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"KT Rolster","Bdd","Mid",9,18,18,5,40,34,6,135,58,280,482796,10206,661601
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"KT Rolster","Cuzz","Jungle",9,18,18,5,40,34,6,101,65,345,418703,6854,367455
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"KT Rolster","Feisty","Mid",1,1,1,0,1,1,0,6,2,13,17752,331,28112
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"KT Rolster","HamBak","Jungle",1,1,1,0,1,1,0,2,1,15,13280,218,12103
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"KT Rolster","Hype","Bot",1,1,1,0,1,1,0,10,3,12,18348,345,25602
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"KT Rolster","Kiin","Top",13,18,18,5,40,34,6,111,56,246,487071,10261,578680
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"KT Rolster","Lehends","Support",9,18,18,5,40,34,6,21,81,404,290117,1235,151550
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"KT Rolster","PerfecT","Top",1,1,1,0,1,1,0,2,1,11,14317,305,16874
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"KT Rolster","Way","Support",1,1,1,0,1,1,0,3,4,13,9909,38,4988
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Kwangdong Freecs","Andil","Support",7,9,2,9,20,2,18,10,72,87,135173,680,77798
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Kwangdong Freecs","BuLLDoG","Mid",13,18,6,14,38,10,28,75,106,141,479841,11153,736977
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Kwangdong Freecs","DuDu","Top",9,18,6,14,38,10,28,83,92,133,471261,10701,643282
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Kwangdong Freecs","Jun","Support",8,9,4,5,18,8,10,10,52,135,133683,475,111393
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Kwangdong Freecs","Taeyoon","Bot",9,18,6,14,38,10,28,106,134,123,507218,11599,679027
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Kwangdong Freecs","YoungJae","Jungle",10,18,6,14,38,10,28,52,95,195,385646,6812,331116
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Burdol","Top",9,10,4,9,23,6,17,46,65,97,272244,5723,330248
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Clear","Top",4,8,4,5,17,7,10,30,43,88,190089,4549,243038
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Clozer","Mid",12,18,8,14,40,13,27,126,106,186,529551,12574,772947
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Kael","Support",13,18,8,14,40,13,27,15,127,316,284743,1326,165890
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Teddy","Bot",10,18,8,14,40,13,27,159,111,176,545923,12862,797631
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Liiv SANDBOX","Willer","Jungle",12,18,8,14,40,13,27,85,110,250,413825,7144,343769
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Nongshim RedForce","DnDn","Top",12,18,8,17,43,13,30,57,125,143,482697,10897,601258
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Nongshim RedForce","FIESTA","Mid",9,14,7,13,31,10,21,84,88,153,374045,7989,572600
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Nongshim RedForce","Jiwoo","Bot",9,15,7,14,36,11,25,137,112,135,498651,11328,668290
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Nongshim RedForce","Peter","Support",9,18,8,17,43,13,30,22,106,293,302228,1281,163761
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Nongshim RedForce","Quad","Mid",5,7,2,6,12,3,9,13,28,31,125803,2893,138392
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Nongshim RedForce","Sylvie","Jungle",10,18,8,17,43,13,30,81,115,192,439504,7450,357480
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"Nongshim RedForce","vital","Bot",4,3,1,3,7,2,5,16,13,12,92242,2245,95209
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"OKSavingsBank BRION","Effort","Support",11,18,10,17,45,15,30,16,107,266,328901,1487,163677
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"OKSavingsBank BRION","Hena","Bot",9,18,10,17,45,15,30,133,80,134,620305,14575,774154
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"OKSavingsBank BRION","Ivory","Mid",6,4,2,4,10,3,7,12,29,30,118646,2882,155818
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"OKSavingsBank BRION","Karis","Mid",9,14,8,13,35,12,23,80,63,140,451850,10363,573486
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"OKSavingsBank BRION","Morgan","Top",8,18,10,17,45,15,30,85,101,129,567846,12924,675164
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"OKSavingsBank BRION","UmTi","Jungle",13,18,10,17,45,15,30,54,103,241,459680,7807,381056
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"T1","Faker","Mid",9,10,9,5,24,17,7,64,58,133,287215,6423,433974
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"T1","Gumayusi","Bot",12,18,12,12,42,21,21,178,79,183,601186,13994,813626
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"T1","Keria","Support",13,18,12,12,42,21,21,23,103,350,306292,1387,198324
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"T1","Oner","Jungle",15,18,12,12,42,21,21,107,104,253,439834,7229,437582
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"T1","Poby","Mid",6,8,3,7,18,4,14,32,57,59,228114,5232,287782
"LCK 2023 Summer","LoL Champions Korea","Korea",2023,"T1","Zeus","Top",13,18,12,12,42,21,21,82,99,218,489040,11007,659733
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"Dplus KIA","Canna","Top",2,1,1,1,4,1,3,10,10,9,47523,1009,38650
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"Dplus KIA","Canyon","Jungle",2,1,1,1,4,1,3,5,7,18,39663,667,32087
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"Dplus KIA","Deft","Bot",3,1,1,1,4,1,3,8,11,14,55204,1320,76290
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"Dplus KIA","Kellin","Support",2,1,1,1,4,1,3,1,3,22,29501,159,16746
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"Dplus KIA","ShowMaker","Mid",2,1,1,1,4,1,3,9,9,14,56287,1302,76283
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"DRX","BeryL","Support",2,1,0,1,3,0,3,3,19,22,24191,136,20378
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"DRX","Croco","Jungle",2,1,0,1,3,0,3,13,18,21,38609,644,44140
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"DRX","FATE","Mid",2,1,0,1,3,0,3,12,12,15,38321,837,70222
"LCK 2023 Summer Playoffs","LoL Champions Korea","Korea",2023,"DRX","Paduck","Bot",2,1,0,1,3,0,3,6,13,16,41751,968,63948
