"latest_tournament","team","currentname","role","nplayerinteam","player"
"LCK 2024 Summer","OKSavingsBank BRION","OKSavingsBank BRION","Mid",4,"Karis"
"LCK 2024 Summer","OKSavingsBank BRION","OKSavingsBank BRION","Mid",5,"Pullbae"
"LCK 2024 Summer","OKSavingsBank BRION","OKSavingsBank BRION","Mid",6,"FATE"
"LCK 2024 Summer","OKSavingsBank BRION","OKSavingsBank BRION","Bot",7,"Samver"
"LCK 2024 Summer","OKSavingsBank BRION","OKSavingsBank BRION","Bot",8,"Envyy"
"LCK 2024 Summer","OKSavingsBank BRION","OKSavingsBank BRION","Support",9,"Pollu"
"LCK 2024 Summer","OKSavingsBank BRION","OKSavingsBank BRION","Coach",10,"Edgar"
"LCK 2024 Summer","OKSavingsBank BRION","OKSavingsBank BRION","Coach",11,"Sw0rd"
"LCK 2024 Summer","T1","T1","Top",1,"Zeus"
"LCK 2024 Summer","T1","T1","Jungle",2,"Oner"
"LCK 2024 Summer","T1","T1","Mid",3,"Faker"
"LCK 2024 Summer","T1","T1","Bot",4,"Gumayusi"
"LCK 2024 Summer","T1","T1","Support",5,"Keria"
"LCK 2024 Summer","T1","T1","Coach",6,"KkOma"
"LCK 2024 Summer","T1","T1","Coach",7,"Roach"
"LCK 2024 Summer","T1","T1","Coach",8,"Tom"
