OverviewPage,Team,N PlayerInTeam,Player,Role,Flag
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,1,ikssu,Top,South Korea
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,2,LirA,Jungle,South Korea
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,3,Mickey (Son Young-min),Mid,South Korea
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,4,Sangyoon,Bot,South Korea
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,5,SnowFlower,Support,South Korea
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,6,OnAir,Coach,South Korea
LCK/2016 Season/Spring Playoffs,Afreeca Freecs,7,AnimalDAX,Coach,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,1,TrAce,Top,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,2,Winged,Jungle,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,3,Kuzan,Mid,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,4,Pilot (Na Woo-hyung),Bot,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,5,Chei,Support,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,6,Han Sang-yong,Coach,South Korea
LCK/2016 Season/Spring Playoffs,Jin Air Green Wings,7,Sweet (Chun Jung-hee),Coach,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,1,Ssumday,Top,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,2,Score,Jungle,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,3,Fly (Song Yong-jun),Mid,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,4,Arrow,Bot,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,5,Hachani,Support,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,6,Lee Ji-hoon,Coach,South Korea
LCK/2016 Season/Spring Playoffs,KT Rolster,7,ZanDarc,Coach,South Korea
LCK/2016 Season/Spring Playoffs,ROX Tigers,1,Smeb,Top,South Korea
LCK/2016 Season/Spring Playoffs,ROX Tigers,2,Peanut,Jungle,South Korea
LCK/2016 Season/Spring Playoffs,ROX Tigers,3,Kuro,Mid,South Korea
LCK/2016 Season/Spring Playoffs,ROX Tigers,4,PraY,Bot,South Korea
LCK/2016 Season/Spring Playoffs,ROX Tigers,5,GorillA,Support,South Korea
LCK/2016 Season/Spring Playoffs,ROX Tigers,6,NoFe,Coach,South Korea
LCK/2016 Season/Spring Playoffs,ROX Tigers,7,SSONG,Coach,South Korea
LCK/2016 Season/Spring Playoffs,SK Telecom T1,1,Duke (Lee Ho-seong),Top,South Korea
LCK/2016 Season/Spring Playoffs,SK Telecom T1,2,Blank (Kang Sun-gu),Jungle,South Korea
LCK/2016 Season/Spring Playoffs,SK Telecom T1,3,Faker,Mid,South Korea
LCK/2016 Season/Spring Playoffs,SK Telecom T1,4,Bang,Bot,South Korea
LCK/2016 Season/Spring Playoffs,SK Telecom T1,5,Wolf (Lee Jae-wan),Support,South Korea
LCK/2016 Season/Spring Playoffs,SK Telecom T1,6,L.i.E.S,Coach,South Korea
LCK/2016 Season/Spring Playoffs,SK Telecom T1,7,kkOma,Coach,South Korea
LCK/2016 Season/Spring Playoffs,SK Telecom T1,8,PoohManDu,Coach,South Korea
LCK/2016 Season/Spring Promotion,Dark Wolves,1,Cube (Kim Chang-seong),Top,South Korea
LCK/2016 Season/Spring Promotion,Dark Wolves,2,Krvavy,Jungle,South Korea
LCK/2016 Season/Spring Promotion,Dark Wolves,3,Kyle (Seo Ji-seon),Mid,South Korea
LCK/2016 Season/Spring Promotion,Dark Wolves,4,Chelly (Park Seung-jin),Bot,South Korea
LCK/2016 Season/Spring Promotion,Dark Wolves,5,Jelly (Son Ho-gyeong),Support,South Korea
LCK/2016 Season/Spring Promotion,ESC Ever,1,Crazyplay,Top,South Korea
LCK/2016 Season/Spring Promotion,ESC Ever,2,JgRyan,Jungle,South Korea
LCK/2016 Season/Spring Promotion,ESC Ever,3,Athena,Mid,South Korea
LCK/2016 Season/Spring Promotion,ESC Ever,4,Police (Park Hyeong-gi),Bot,South Korea
LCK/2016 Season/Spring Promotion,ESC Ever,5,LokeN,Bot,South Korea
LCK/2016 Season/Spring Promotion,ESC Ever,6,TML,Support,South Korea
LCK/2016 Season/Spring Promotion,ESC Ever,7,Totoro (Eun Jong-seop),Support,South Korea
LCK/2016 Season/Spring Promotion,ESC Ever,8,PanDa (Kim Gi-woong),Coach,South Korea
LCK/2016 Season/Spring Promotion,ESC Ever,9,Cho Gye-hyeon,Coach,South Korea
LCK/2016 Season/Spring Promotion,Incredible Miracle,1,Expession,Top,South Korea
LCK/2016 Season/Spring Promotion,Incredible Miracle,2,TusiN,Jungle,South Korea
LCK/2016 Season/Spring Promotion,Incredible Miracle,3,Frozen (Kim Tae-il),Mid,South Korea
LCK/2016 Season/Spring Promotion,Incredible Miracle,4,SONSTAR,Bot,South Korea
LCK/2016 Season/Spring Promotion,Incredible Miracle,5,IgNar,Support,South Korea
LCK/2016 Season/Spring Promotion,Incredible Miracle,6,Hirai,Coach,South Korea
LCK/2016 Season/Spring Promotion,Incredible Miracle,7,Micro (Kim Mok-kyoung),Coach,South Korea
LCK/2016 Season/Spring Promotion,SBENU Sonicboom,1,Soul (Seo Hyeon-seok),Top,South Korea
LCK/2016 Season/Spring Promotion,SBENU Sonicboom,2,Flaw (Sung Yeon-jun),Jungle,South Korea
LCK/2016 Season/Spring Promotion,SBENU Sonicboom,3,SaSin,Mid,South Korea
LCK/2016 Season/Spring Promotion,SBENU Sonicboom,4,Nuclear,Bot,South Korea
LCK/2016 Season/Spring Promotion,SBENU Sonicboom,5,Secret (Park Ki-sun),Support,South Korea
LCK/2016 Season/Spring Promotion,SBENU Sonicboom,6,Gerrard,Coach,South Korea
LCK/2016 Season/Spring Promotion,SBENU Sonicboom,7,Wi Dae-yun,Coach,South Korea
LCK/2016 Season/Spring Season,Afreeca Freecs,1,ikssu,Top,South Korea
LCK/2016 Season/Spring Season,Afreeca Freecs,2,LirA,Jungle,South Korea
LCK/2016 Season/Spring Season,Afreeca Freecs,3,Mickey (Son Young-min),Mid,South Korea
LCK/2016 Season/Spring Season,Afreeca Freecs,4,Sangyoon,Bot,South Korea
LCK/2016 Season/Spring Season,Afreeca Freecs,5,SnowFlower,Support,South Korea
LCK/2016 Season/Spring Season,Afreeca Freecs,6,OnAir,Coach,South Korea
LCK/2016 Season/Spring Season,Afreeca Freecs,7,AnimalDAX,Coach,South Korea
LCK/2016 Season/Spring Season,CJ Entus,1,Untara,Top,South Korea
LCK/2016 Season/Spring Season,CJ Entus,2,Bubbling,Jungle,South Korea
LCK/2016 Season/Spring Season,CJ Entus,3,Sky (Kim Ha-neul),Mid,South Korea
LCK/2016 Season/Spring Season,CJ Entus,4,Bdd,Mid,South Korea
LCK/2016 Season/Spring Season,CJ Entus,5,Kramer,Bot,South Korea
LCK/2016 Season/Spring Season,CJ Entus,6,MadLife,Support,South Korea
LCK/2016 Season/Spring Season,CJ Entus,7,Reach (Park Jung-suk),Coach,South Korea
LCK/2016 Season/Spring Season,CJ Entus,8,Cain,Coach,South Korea
LCK/2016 Season/Spring Season,Jin Air Green Wings,1,TrAce,Top,South Korea
LCK/2016 Season/Spring Season,Jin Air Green Wings,2,SoHwan,Top,South Korea
LCK/2016 Season/Spring Season,Jin Air Green Wings,3,Winged,Jungle,South Korea
LCK/2016 Season/Spring Season,Jin Air Green Wings,4,Kuzan,Mid,South Korea
LCK/2016 Season/Spring Season,Jin Air Green Wings,5,Pilot (Na Woo-hyung),Bot,South Korea
LCK/2016 Season/Spring Season,Jin Air Green Wings,6,Chei,Support,South Korea
LCK/2016 Season/Spring Season,Jin Air Green Wings,7,Han Sang-yong,Coach,South Korea
LCK/2016 Season/Spring Season,Jin Air Green Wings,8,Sweet (Chun Jung-hee),Coach,South Korea
LCK/2016 Season/Spring Season,Kongdoo Monster,1,Hipo,Top,South Korea
LCK/2016 Season/Spring Season,Kongdoo Monster,2,Roach,Top,South Korea
LCK/2016 Season/Spring Season,Kongdoo Monster,3,Crush,Jungle,South Korea
LCK/2016 Season/Spring Season,Kongdoo Monster,4,Edge,Mid,South Korea
LCK/2016 Season/Spring Season,Kongdoo Monster,5,SSol,Bot,South Korea
LCK/2016 Season/Spring Season,Kongdoo Monster,6,GuGer,Support,South Korea
LCK/2016 Season/Spring Season,Kongdoo Monster,7,viNylCat,Coach,South Korea
LCK/2016 Season/Spring Season,Kongdoo Monster,8,Micro (Kim Mok-kyoung),Coach,South Korea
LCK/2016 Season/Spring Season,KT Rolster,1,Ssumday,Top,South Korea
LCK/2016 Season/Spring Season,KT Rolster,2,Score,Jungle,South Korea
LCK/2016 Season/Spring Season,KT Rolster,3,Fly (Song Yong-jun),Mid,South Korea
LCK/2016 Season/Spring Season,KT Rolster,4,Arrow,Bot,South Korea
LCK/2016 Season/Spring Season,KT Rolster,5,Hachani,Support,South Korea
LCK/2016 Season/Spring Season,KT Rolster,6,IgNar,Support,South Korea
LCK/2016 Season/Spring Season,KT Rolster,7,Lee Ji-hoon,Coach,South Korea
LCK/2016 Season/Spring Season,KT Rolster,8,ZanDarc,Coach,South Korea
LCK/2016 Season/Spring Season,Longzhu Gaming,1,Expession,Top,South Korea
LCK/2016 Season/Spring Season,Longzhu Gaming,2,Flame,Top,South Korea
LCK/2016 Season/Spring Season,Longzhu Gaming,3,Chaser,Jungle,South Korea
LCK/2016 Season/Spring Season,Longzhu Gaming,4,Crash,Jungle,South Korea
LCK/2016 Season/Spring Season,Longzhu Gaming,5,Coco,Mid,South Korea
LCK/2016 Season/Spring Season,Longzhu Gaming,6,Frozen (Kim Tae-il),Mid,South Korea
LCK/2016 Season/Spring Season,Longzhu Gaming,7,Cpt Jack,Bot,South Korea
LCK/2016 Season/Spring Season,Longzhu Gaming,8,Fury (Lee Jin-yong),Bot,South Korea
LCK/2016 Season/Spring Season,Longzhu Gaming,9,Pure,Support,South Korea
LCK/2016 Season/Spring Season,Longzhu Gaming,10,Zzus,Support,South Korea
LCK/2016 Season/Spring Season,Longzhu Gaming,11,Hirai,Coach,South Korea
LCK/2016 Season/Spring Season,Longzhu Gaming,12,Lustboy,Coach,South Korea
LCK/2016 Season/Spring Season,Longzhu Gaming,13,Supreme,Coach,South Korea
LCK/2016 Season/Spring Season,ROX Tigers,1,Smeb,Top,South Korea
LCK/2016 Season/Spring Season,ROX Tigers,2,Peanut,Jungle,South Korea
LCK/2016 Season/Spring Season,ROX Tigers,3,Kuro,Mid,South Korea
LCK/2016 Season/Spring Season,ROX Tigers,4,PraY,Bot,South Korea
LCK/2016 Season/Spring Season,ROX Tigers,5,GorillA,Support,South Korea
LCK/2016 Season/Spring Season,ROX Tigers,6,NoFe,Coach,South Korea
LCK/2016 Season/Spring Season,ROX Tigers,7,SSONG,Coach,South Korea
LCK/2016 Season/Spring Season,Samsung Galaxy,1,CuVee,Top,South Korea
LCK/2016 Season/Spring Season,Samsung Galaxy,2,Ambition,Jungle,South Korea
LCK/2016 Season/Spring Season,Samsung Galaxy,3,Crown,Mid,South Korea
LCK/2016 Season/Spring Season,Samsung Galaxy,4,CoreJJ,Bot,South Korea
LCK/2016 Season/Spring Season,Samsung Galaxy,5,Stitch,Bot,South Korea
LCK/2016 Season/Spring Season,Samsung Galaxy,6,Wraith,Support,South Korea
LCK/2016 Season/Spring Season,Samsung Galaxy,7,DoGGi,Coach,South Korea
LCK/2016 Season/Spring Season,Samsung Galaxy,8,Kim Jeong-soo,Coach,South Korea
LCK/2016 Season/Spring Season,SBENU Sonicboom,1,SoaR,Top,South Korea
LCK/2016 Season/Spring Season,SBENU Sonicboom,2,Soul (Seo Hyeon-seok),Top,South Korea
LCK/2016 Season/Spring Season,SBENU Sonicboom,3,Flawless,Jungle,South Korea
LCK/2016 Season/Spring Season,SBENU Sonicboom,4,SaSin,Mid,South Korea
LCK/2016 Season/Spring Season,SBENU Sonicboom,5,Nuclear,Bot,South Korea
LCK/2016 Season/Spring Season,SBENU Sonicboom,6,Secret (Park Ki-sun),Support,South Korea
LCK/2016 Season/Spring Season,SBENU Sonicboom,7,Park Jae-seok,Coach,South Korea
LCK/2016 Season/Spring Season,SBENU Sonicboom,8,Wi Dae-yun,Coach,South Korea
LCK/2016 Season/Spring Season,SK Telecom T1,1,Duke (Lee Ho-seong),Top,South Korea
LCK/2016 Season/Spring Season,SK Telecom T1,2,Bengi,Jungle,South Korea
LCK/2016 Season/Spring Season,SK Telecom T1,3,Blank (Kang Sun-gu),Jungle,South Korea
LCK/2016 Season/Spring Season,SK Telecom T1,4,Faker,Mid,South Korea
LCK/2016 Season/Spring Season,SK Telecom T1,5,Scout,Mid,South Korea
LCK/2016 Season/Spring Season,SK Telecom T1,6,Bang,Bot,South Korea
LCK/2016 Season/Spring Season,SK Telecom T1,7,Wolf (Lee Jae-wan),Support,South Korea
LCK/2016 Season/Spring Season,SK Telecom T1,8,L.i.E.S,Coach,South Korea
LCK/2016 Season/Spring Season,SK Telecom T1,9,kkOma,Coach,South Korea
LCK/2016 Season/Spring Season,SK Telecom T1,10,PoohManDu,Coach,South Korea
LCK/2016 Season/Summer Playoffs,Afreeca Freecs,1,ikssu,Top,South Korea
LCK/2016 Season/Summer Playoffs,Afreeca Freecs,2,LirA,Jungle,South Korea
LCK/2016 Season/Summer Playoffs,Afreeca Freecs,3,Mickey (Son Young-min),Mid,South Korea
LCK/2016 Season/Summer Playoffs,Afreeca Freecs,4,Sangyoon,Bot,South Korea
LCK/2016 Season/Summer Playoffs,Afreeca Freecs,5,SnowFlower,Support,South Korea
LCK/2016 Season/Summer Playoffs,Afreeca Freecs,6,OnAir,Coach,South Korea
LCK/2016 Season/Summer Playoffs,Afreeca Freecs,7,AnimalDAX,Coach,South Korea
LCK/2016 Season/Summer Playoffs,KT Rolster,1,Ssumday,Top,South Korea
LCK/2016 Season/Summer Playoffs,KT Rolster,2,Score,Jungle,South Korea
LCK/2016 Season/Summer Playoffs,KT Rolster,3,Fly (Song Yong-jun),Mid,South Korea
LCK/2016 Season/Summer Playoffs,KT Rolster,4,Arrow,Bot,South Korea
LCK/2016 Season/Summer Playoffs,KT Rolster,5,Hachani,Support,South Korea
LCK/2016 Season/Summer Playoffs,KT Rolster,6,Lee Ji-hoon,Coach,South Korea
LCK/2016 Season/Summer Playoffs,KT Rolster,7,ZanDarc,Coach,South Korea
LCK/2016 Season/Summer Playoffs,ROX Tigers,1,Smeb,Top,South Korea
LCK/2016 Season/Summer Playoffs,ROX Tigers,2,Peanut,Jungle,South Korea
LCK/2016 Season/Summer Playoffs,ROX Tigers,3,Kuro,Mid,South Korea
LCK/2016 Season/Summer Playoffs,ROX Tigers,4,PraY,Bot,South Korea
LCK/2016 Season/Summer Playoffs,ROX Tigers,5,GorillA,Support,South Korea
LCK/2016 Season/Summer Playoffs,ROX Tigers,6,NoFe,Coach,South Korea
LCK/2016 Season/Summer Playoffs,ROX Tigers,7,SSONG,Coach,South Korea
LCK/2016 Season/Summer Playoffs,Samsung Galaxy,1,CuVee,Top,South Korea
LCK/2016 Season/Summer Playoffs,Samsung Galaxy,2,Helper (Kwon Yeong-jae),Top,South Korea
LCK/2016 Season/Summer Playoffs,Samsung Galaxy,3,Ambition,Jungle,South Korea
LCK/2016 Season/Summer Playoffs,Samsung Galaxy,4,Crown,Mid,South Korea
LCK/2016 Season/Summer Playoffs,Samsung Galaxy,5,Ruler,Bot,South Korea
LCK/2016 Season/Summer Playoffs,Samsung Galaxy,6,Stitch,Bot,South Korea
LCK/2016 Season/Summer Playoffs,Samsung Galaxy,7,Wraith,Support,South Korea
LCK/2016 Season/Summer Playoffs,Samsung Galaxy,8,DoGGi,Coach,South Korea
LCK/2016 Season/Summer Playoffs,Samsung Galaxy,9,Kim Jeong-soo,Coach,South Korea
LCK/2016 Season/Summer Playoffs,SK Telecom T1,1,Duke (Lee Ho-seong),Top,South Korea
LCK/2016 Season/Summer Playoffs,SK Telecom T1,2,Blank (Kang Sun-gu),Jungle,South Korea
LCK/2016 Season/Summer Playoffs,SK Telecom T1,3,Faker,Mid,South Korea
LCK/2016 Season/Summer Playoffs,SK Telecom T1,4,Bang,Bot,South Korea
LCK/2016 Season/Summer Playoffs,SK Telecom T1,5,Wolf (Lee Jae-wan),Support,South Korea
LCK/2016 Season/Summer Playoffs,SK Telecom T1,6,L.i.E.S,Coach,South Korea
LCK/2016 Season/Summer Playoffs,SK Telecom T1,7,kkOma,Coach,South Korea
LCK/2016 Season/Summer Promotion,ESC Ever,1,Crazy (Kim Jae-hee),Top,South Korea
LCK/2016 Season/Summer Promotion,ESC Ever,2,Bless (Choi Hyeon-woong),Jungle,South Korea
LCK/2016 Season/Summer Promotion,ESC Ever,3,Tempt,Mid,South Korea
LCK/2016 Season/Summer Promotion,ESC Ever,4,LokeN,Bot,South Korea
LCK/2016 Season/Summer Promotion,ESC Ever,5,Key,Support,South Korea
LCK/2016 Season/Summer Promotion,ESC Ever,6,Kim Ga-ram,Coach,South Korea
LCK/2016 Season/Summer Promotion,ESC Ever,7,Cho Gye-hyeon,Coach,South Korea
LCK/2016 Season/Summer Promotion,Kongdoo Monster,1,Hipo,Top,South Korea
LCK/2016 Season/Summer Promotion,Kongdoo Monster,2,Crush,Jungle,South Korea
LCK/2016 Season/Summer Promotion,Kongdoo Monster,3,Edge,Mid,South Korea
LCK/2016 Season/Summer Promotion,Kongdoo Monster,4,SSol,Bot,South Korea
LCK/2016 Season/Summer Promotion,Kongdoo Monster,5,GuGer,Support,South Korea
LCK/2016 Season/Summer Promotion,Kongdoo Monster,6,viNylCat,Coach,South Korea
LCK/2016 Season/Summer Promotion,Kongdoo Monster,7,Micro (Kim Mok-kyoung),Coach,South Korea
LCK/2016 Season/Summer Promotion,MVP,1,ADD,Top,South Korea
LCK/2016 Season/Summer Promotion,MVP,2,Beyond (Kim Kyu-seok),Jungle,South Korea
LCK/2016 Season/Summer Promotion,MVP,3,Ian,Mid,South Korea
LCK/2016 Season/Summer Promotion,MVP,4,MaHa,Bot,South Korea
LCK/2016 Season/Summer Promotion,MVP,5,Max (Jeong Jong-bin),Support,South Korea
LCK/2016 Season/Summer Promotion,MVP,6,Hell,Coach,South Korea
LCK/2016 Season/Summer Promotion,SBENU Sonicboom,1,Soul (Seo Hyeon-seok),Top,South Korea
LCK/2016 Season/Summer Promotion,SBENU Sonicboom,2,Flawless,Jungle,South Korea
LCK/2016 Season/Summer Promotion,SBENU Sonicboom,3,SaSin,Mid,South Korea
LCK/2016 Season/Summer Promotion,SBENU Sonicboom,4,Nuclear,Bot,South Korea
LCK/2016 Season/Summer Promotion,SBENU Sonicboom,5,Secret (Park Ki-sun),Support,South Korea
LCK/2016 Season/Summer Promotion,SBENU Sonicboom,6,Park Jae-seok,Coach,South Korea
LCK/2016 Season/Summer Season,Afreeca Freecs,1,ikssu,Top,South Korea
LCK/2016 Season/Summer Season,Afreeca Freecs,2,Lindarang,Top,South Korea
LCK/2016 Season/Summer Season,Afreeca Freecs,3,LirA,Jungle,South Korea
LCK/2016 Season/Summer Season,Afreeca Freecs,4,SeongHwan,Jungle,South Korea
LCK/2016 Season/Summer Season,Afreeca Freecs,5,Mickey (Son Young-min),Mid,South Korea
LCK/2016 Season/Summer Season,Afreeca Freecs,6,Sangyoon,Bot,South Korea
LCK/2016 Season/Summer Season,Afreeca Freecs,7,SnowFlower,Support,South Korea
LCK/2016 Season/Summer Season,Afreeca Freecs,8,OnAir,Coach,South Korea
LCK/2016 Season/Summer Season,Afreeca Freecs,9,AnimalDAX,Coach,South Korea
LCK/2016 Season/Summer Season,CJ Entus,1,Untara,Top,South Korea
LCK/2016 Season/Summer Season,CJ Entus,2,Shy,Top,South Korea
LCK/2016 Season/Summer Season,CJ Entus,3,Haru,Jungle,South Korea
LCK/2016 Season/Summer Season,CJ Entus,4,Bubbling,Jungle,South Korea
LCK/2016 Season/Summer Season,CJ Entus,5,Bdd,Mid,South Korea
LCK/2016 Season/Summer Season,CJ Entus,6,Sky (Kim Ha-neul),Mid,South Korea
LCK/2016 Season/Summer Season,CJ Entus,7,Kramer,Bot,South Korea
LCK/2016 Season/Summer Season,CJ Entus,8,Ghost (Jang Yong-jun),Bot,South Korea
LCK/2016 Season/Summer Season,CJ Entus,9,MadLife,Support,South Korea
LCK/2016 Season/Summer Season,CJ Entus,10,Reach (Park Jung-suk),Coach,South Korea
LCK/2016 Season/Summer Season,CJ Entus,11,Cain,Coach,South Korea
LCK/2016 Season/Summer Season,ESC Ever,1,Crazy (Kim Jae-hee),Top,South Korea
LCK/2016 Season/Summer Season,ESC Ever,2,Firetrap,Top,South Korea
LCK/2016 Season/Summer Season,ESC Ever,3,Bless (Choi Hyeon-woong),Jungle,South Korea
LCK/2016 Season/Summer Season,ESC Ever,4,Tempt,Mid,South Korea
LCK/2016 Season/Summer Season,ESC Ever,5,LokeN,Bot,South Korea
LCK/2016 Season/Summer Season,ESC Ever,6,Key,Support,South Korea
LCK/2016 Season/Summer Season,ESC Ever,7,Totoro (Eun Jong-seop),Support,South Korea
LCK/2016 Season/Summer Season,ESC Ever,8,Kim Ga-ram,Coach,South Korea
LCK/2016 Season/Summer Season,ESC Ever,9,Cho Gye-hyeon,Coach,South Korea
LCK/2016 Season/Summer Season,Jin Air Green Wings,1,TrAce,Top,South Korea
LCK/2016 Season/Summer Season,Jin Air Green Wings,2,SoHwan,Top,South Korea
LCK/2016 Season/Summer Season,Jin Air Green Wings,3,Winged,Jungle,South Korea
LCK/2016 Season/Summer Season,Jin Air Green Wings,4,Blanc (Jin Seong-min),Mid,South Korea
LCK/2016 Season/Summer Season,Jin Air Green Wings,5,Kuzan,Mid,South Korea
LCK/2016 Season/Summer Season,Jin Air Green Wings,6,Pilot (Na Woo-hyung),Bot,South Korea
LCK/2016 Season/Summer Season,Jin Air Green Wings,7,Chei,Support,South Korea
LCK/2016 Season/Summer Season,Jin Air Green Wings,8,Sweet (Lee Eun-teak),Support,South Korea
LCK/2016 Season/Summer Season,Jin Air Green Wings,9,Han Sang-yong,Coach,South Korea
LCK/2016 Season/Summer Season,Jin Air Green Wings,10,Sweet (Chun Jung-hee),Coach,South Korea
LCK/2016 Season/Summer Season,KT Rolster,1,Ssumday,Top,South Korea
LCK/2016 Season/Summer Season,KT Rolster,2,Score,Jungle,South Korea
LCK/2016 Season/Summer Season,KT Rolster,3,Fly (Song Yong-jun),Mid,South Korea
LCK/2016 Season/Summer Season,KT Rolster,4,Arrow,Bot,South Korea
LCK/2016 Season/Summer Season,KT Rolster,5,Hachani,Support,South Korea
LCK/2016 Season/Summer Season,KT Rolster,6,Lee Ji-hoon,Coach,South Korea
LCK/2016 Season/Summer Season,KT Rolster,7,ZanDarc,Coach,South Korea
LCK/2016 Season/Summer Season,Longzhu Gaming,1,Expession,Top,South Korea
LCK/2016 Season/Summer Season,Longzhu Gaming,2,Chaser,Jungle,South Korea
LCK/2016 Season/Summer Season,Longzhu Gaming,3,Crash,Jungle,South Korea
LCK/2016 Season/Summer Season,Longzhu Gaming,4,Coco,Mid,South Korea
LCK/2016 Season/Summer Season,Longzhu Gaming,5,Frozen (Kim Tae-il),Mid,South Korea
LCK/2016 Season/Summer Season,Longzhu Gaming,6,Fury (Lee Jin-yong),Bot,South Korea
LCK/2016 Season/Summer Season,Longzhu Gaming,7,Emperor (Kim Jin-hyun),Bot,South Korea
LCK/2016 Season/Summer Season,Longzhu Gaming,8,Pure,Support,South Korea
LCK/2016 Season/Summer Season,Longzhu Gaming,9,Hirai,Coach,South Korea
LCK/2016 Season/Summer Season,Longzhu Gaming,10,Lustboy,Coach,South Korea
LCK/2016 Season/Summer Season,Longzhu Gaming,11,Supreme,Coach,South Korea
LCK/2016 Season/Summer Season,MVP,1,ADD,Top,South Korea
LCK/2016 Season/Summer Season,MVP,2,Beyond (Kim Kyu-seok),Jungle,South Korea
LCK/2016 Season/Summer Season,MVP,3,Ian,Mid,South Korea
LCK/2016 Season/Summer Season,MVP,4,MaHa,Bot,South Korea
LCK/2016 Season/Summer Season,MVP,5,Max (Jeong Jong-bin),Support,South Korea
LCK/2016 Season/Summer Season,MVP,6,Hell,Coach,South Korea
LCK/2016 Season/Summer Season,ROX Tigers,1,Smeb,Top,South Korea
LCK/2016 Season/Summer Season,ROX Tigers,2,Peanut,Jungle,South Korea
LCK/2016 Season/Summer Season,ROX Tigers,3,Kuro,Mid,South Korea
LCK/2016 Season/Summer Season,ROX Tigers,4,Cry,Mid,South Korea
LCK/2016 Season/Summer Season,ROX Tigers,5,PraY,Bot,South Korea
LCK/2016 Season/Summer Season,ROX Tigers,6,GorillA,Support,South Korea
LCK/2016 Season/Summer Season,ROX Tigers,7,NoFe,Coach,South Korea
LCK/2016 Season/Summer Season,ROX Tigers,8,SSONG,Coach,South Korea
LCK/2016 Season/Summer Season,Samsung Galaxy,1,CuVee,Top,South Korea
LCK/2016 Season/Summer Season,Samsung Galaxy,2,Helper (Kwon Yeong-jae),Top,South Korea
LCK/2016 Season/Summer Season,Samsung Galaxy,3,Ambition,Jungle,South Korea
LCK/2016 Season/Summer Season,Samsung Galaxy,4,Crown,Mid,South Korea
LCK/2016 Season/Summer Season,Samsung Galaxy,5,Ruler,Bot,South Korea
LCK/2016 Season/Summer Season,Samsung Galaxy,6,Wraith,Support,South Korea
LCK/2016 Season/Summer Season,Samsung Galaxy,7,CoreJJ,Support,South Korea
LCK/2016 Season/Summer Season,Samsung Galaxy,8,DoGGi,Coach,South Korea
LCK/2016 Season/Summer Season,Samsung Galaxy,9,Kim Jeong-soo,Coach,South Korea
LCK/2016 Season/Summer Season,SK Telecom T1,1,Duke (Lee Ho-seong),Top,South Korea
LCK/2016 Season/Summer Season,SK Telecom T1,2,Bengi,Jungle,South Korea
LCK/2016 Season/Summer Season,SK Telecom T1,3,Blank (Kang Sun-gu),Jungle,South Korea
LCK/2016 Season/Summer Season,SK Telecom T1,4,Faker,Mid,South Korea
LCK/2016 Season/Summer Season,SK Telecom T1,5,Bang,Bot,South Korea
LCK/2016 Season/Summer Season,SK Telecom T1,6,Wolf (Lee Jae-wan),Support,South Korea
LCK/2016 Season/Summer Season,SK Telecom T1,7,L.i.E.S,Coach,South Korea
LCK/2016 Season/Summer Season,SK Telecom T1,8,kkOma,Coach,South Korea
LCK/2017 Season/Spring Playoffs,Afreeca Freecs,1,MaRin,Top,South Korea
LCK/2017 Season/Spring Playoffs,Afreeca Freecs,2,Spirit,Jungle,South Korea
LCK/2017 Season/Spring Playoffs,Afreeca Freecs,3,Kuro,Mid,South Korea
LCK/2017 Season/Spring Playoffs,Afreeca Freecs,4,Kramer,Bot,South Korea
LCK/2017 Season/Spring Playoffs,Afreeca Freecs,5,TusiN,Support,South Korea
LCK/2017 Season/Spring Playoffs,Afreeca Freecs,6,iloveoov,Coach,South Korea
LCK/2017 Season/Spring Playoffs,Afreeca Freecs,7,Cho Gye-hyeon,Coach,South Korea
LCK/2017 Season/Spring Playoffs,KT Rolster,1,Smeb,Top,South Korea
LCK/2017 Season/Spring Playoffs,KT Rolster,2,Score,Jungle,South Korea
LCK/2017 Season/Spring Playoffs,KT Rolster,3,PawN,Mid,South Korea
LCK/2017 Season/Spring Playoffs,KT Rolster,4,Deft,Bot,South Korea
LCK/2017 Season/Spring Playoffs,KT Rolster,5,Mata,Support,South Korea
LCK/2017 Season/Spring Playoffs,KT Rolster,6,Lee Ji-hoon,Coach,South Korea
LCK/2017 Season/Spring Playoffs,KT Rolster,7,ZanDarc,Coach,South Korea
LCK/2017 Season/Spring Playoffs,MVP,1,ADD,Top,South Korea
